carat,cut,color,clarity,depth,table,price,x,y,z,id
0.74,Premium,F,VS2,61.9,56.0,2805,5.8,5.77,3.58,355
0.73,Ideal,E,SI2,61.8,58.0,2805,5.77,5.81,3.58,356
0.57,Fair,E,VVS1,58.7,66.0,2805,5.34,5.43,3.16,357
0.73,Premium,F,VS2,62.5,57.0,2805,5.75,5.7,3.58,358
0.72,Ideal,G,VS2,62.8,56.0,2805,5.74,5.7,3.59,359
0.74,Fair,F,VS2,61.1,68.0,2805,5.82,5.75,3.53,360
0.82,Good,G,VS2,64.0,57.0,2805,5.92,5.89,3.78,361
0.81,Very Good,G,SI1,62.5,60.0,2806,5.89,5.94,3.69,362
0.75,Very Good,H,VVS1,60.6,58.0,2806,5.85,5.9,3.56,363
0.7,Ideal,F,SI1,61.6,55.0,2806,5.72,5.74,3.53,364
0.71,Very Good,F,VS1,62.2,58.0,2807,5.66,5.72,3.54,365
0.71,Very Good,F,VS1,60.0,57.0,2807,5.84,5.9,3.52,366
0.93,Premium,J,SI2,61.9,57.0,2807,6.21,6.19,3.84,367
0.8,Very Good,H,VS2,62.8,57.0,2808,5.87,5.91,3.7,368
0.7,Very Good,F,VS1,62.0,57.0,2808,5.64,5.71,3.52,369
1.0,Fair,G,I1,66.4,59.0,2808,6.16,6.09,4.07,370
0.75,Very Good,G,VS2,63.4,56.0,2808,5.78,5.74,3.65,371
0.58,Ideal,E,VVS2,60.9,56.0,2808,5.41,5.43,3.3,372
0.73,Very Good,D,SI1,63.1,57.0,2808,5.74,5.7,3.61,373
0.81,Very Good,F,SI1,63.1,59.0,2809,5.85,5.79,3.67,374
0.81,Premium,D,SI2,59.2,57.0,2809,6.15,6.05,3.61,375
0.71,Premium,F,SI1,60.7,54.0,2809,5.84,5.8,3.53,376
1.2,Fair,F,I1,64.6,56.0,2809,6.73,6.66,4.33,377
0.7,Very Good,F,VS1,61.8,56.0,2810,5.63,5.7,3.5,378
0.7,Very Good,F,VS1,59.9,60.0,2810,5.77,5.84,3.48,379
0.74,Ideal,D,SI2,61.7,55.0,2810,5.81,5.85,3.6,380
0.7,Good,F,VS1,62.8,61.0,2810,5.57,5.61,3.51,381
0.8,Good,G,SI1,62.7,57.0,2810,5.84,5.93,3.69,382
0.75,Very Good,F,SI1,63.4,58.0,2811,5.72,5.76,3.64,383
0.83,Very Good,D,SI1,63.5,54.0,2811,5.98,5.95,3.79,384
1.0,Fair,J,VS2,65.7,59.0,2811,6.14,6.07,4.01,385
0.99,Fair,I,SI2,68.1,56.0,2811,6.21,6.06,4.18,386
0.7,Very Good,G,VS1,63.0,60.0,2812,5.57,5.64,3.53,387
0.7,Very Good,F,VS2,59.5,58.0,2812,5.75,5.85,3.45,388
0.7,Good,E,SI1,63.5,59.0,2812,5.49,5.53,3.5,389
0.7,Very Good,F,VS2,61.7,58.0,2812,5.63,5.69,3.49,390
0.32,Premium,I,SI1,62.7,58.0,554,4.37,4.34,2.73,391
0.32,Premium,I,SI1,62.8,58.0,554,4.39,4.34,2.74,392
0.32,Ideal,I,SI1,62.4,57.0,554,4.37,4.35,2.72,393
0.32,Premium,I,SI1,61.0,59.0,554,4.39,4.36,2.67,394
0.32,Very Good,I,SI1,63.1,56.0,554,4.39,4.36,2.76,395
0.32,Ideal,I,SI1,60.7,57.0,554,4.47,4.42,2.7,396
0.3,Premium,H,SI1,60.9,59.0,554,4.31,4.29,2.62,397
0.3,Premium,H,SI1,60.1,55.0,554,4.41,4.38,2.64,398
0.3,Premium,H,SI1,62.9,58.0,554,4.28,4.24,2.68,399
0.3,Very Good,H,SI1,63.3,56.0,554,4.29,4.27,2.71,400
0.3,Good,H,SI1,63.8,55.0,554,4.26,4.2,2.7,401
0.3,Ideal,H,SI1,62.9,57.0,554,4.27,4.22,2.67,402
0.3,Very Good,H,SI1,63.4,60.0,554,4.25,4.23,2.69,403
0.32,Good,I,SI1,63.9,55.0,554,4.36,4.34,2.78,404
0.33,Ideal,H,SI2,61.4,56.0,554,4.85,4.79,2.95,405
0.29,Very Good,E,VS1,61.9,55.0,555,4.28,4.33,2.66,406
0.29,Very Good,E,VS1,62.4,55.0,555,4.2,4.25,2.63,407
0.31,Very Good,F,SI1,61.8,58.0,555,4.32,4.35,2.68,408
0.34,Ideal,H,VS2,61.5,56.0,555,4.47,4.5,2.76,409
0.34,Ideal,H,VS2,60.4,57.0,555,4.54,4.57,2.75,410
0.34,Ideal,I,VS1,61.8,55.0,555,4.48,4.52,2.78,411
0.34,Ideal,I,VS1,62.0,56.0,555,4.5,4.53,2.8,412
0.3,Ideal,G,VS1,62.3,56.0,555,4.29,4.31,2.68,413
0.29,Ideal,F,VS1,61.6,56.0,555,4.26,4.31,2.64,414
0.35,Ideal,G,SI1,60.6,56.0,555,4.56,4.58,2.77,415
0.43,Very Good,E,I1,58.4,62.0,555,4.94,5.0,2.9,416
0.32,Very Good,F,VS2,61.4,58.0,556,4.37,4.42,2.7,417
0.36,Ideal,I,VS2,61.9,56.0,556,4.54,4.57,2.82,418
0.3,Ideal,G,VS2,62.0,56.0,556,4.28,4.3,2.66,419
0.26,Ideal,E,VS1,61.5,57.0,556,4.09,4.12,2.52,420
0.7,Very Good,F,VS2,62.3,58.0,2812,5.64,5.72,3.54,421
0.7,Very Good,F,VS2,60.9,61.0,2812,5.66,5.71,3.46,422
0.71,Ideal,D,SI1,62.4,57.0,2812,5.69,5.72,3.56,423
0.99,Fair,J,SI1,55.0,61.0,2812,6.72,6.67,3.68,424
0.73,Premium,E,VS2,58.6,60.0,2812,5.92,5.89,3.46,425
0.51,Ideal,F,VVS1,62.0,57.0,2812,5.15,5.11,3.18,426
0.91,Premium,G,SI2,59.8,58.0,2813,6.3,6.29,3.77,427
0.84,Very Good,E,SI1,63.4,55.0,2813,6.0,5.95,3.79,428
0.91,Good,I,VS2,64.3,58.0,2813,6.09,6.05,3.9,429
0.76,Premium,E,SI1,62.2,59.0,2814,5.86,5.81,3.63,430
0.76,Ideal,E,SI1,61.7,57.0,2814,5.88,5.85,3.62,431
0.75,Premium,E,SI1,61.1,59.0,2814,5.86,5.83,3.57,432
0.55,Very Good,D,VVS1,61.5,56.0,2815,5.23,5.27,3.23,433
0.76,Very Good,F,SI2,58.5,62.0,2815,5.93,6.01,3.49,434
0.74,Premium,G,VS1,61.7,58.0,2815,5.79,5.81,3.58,435
0.7,Ideal,H,SI1,60.4,56.0,2815,5.75,5.81,3.49,436
0.7,Ideal,H,SI1,61.4,56.0,2815,5.7,5.76,3.52,437
0.7,Ideal,H,SI1,61.5,55.0,2815,5.73,5.79,3.54,438
0.7,Ideal,H,SI1,61.4,56.0,2815,5.72,5.77,3.53,439
0.9,Fair,J,VS2,65.0,56.0,2815,6.08,6.04,3.94,440
0.95,Fair,F,SI2,56.0,60.0,2815,6.62,6.53,3.68,441
0.89,Premium,H,SI2,60.2,59.0,2815,6.26,6.23,3.76,442
0.72,Premium,E,VS2,58.3,58.0,2815,5.99,5.92,3.47,443
0.96,Fair,E,SI2,53.1,63.0,2815,6.73,6.65,3.55,444
1.02,Premium,G,I1,60.3,58.0,2815,6.55,6.5,3.94,445
0.78,Very Good,I,VVS2,61.4,56.0,2816,5.91,5.95,3.64,446
0.61,Ideal,G,VVS2,60.1,57.0,2816,5.52,5.54,3.32,447
0.71,Good,D,VS1,63.4,55.0,2816,5.61,5.69,3.58,448
0.78,Premium,F,SI1,61.5,59.0,2816,5.96,5.88,3.64,449
0.87,Ideal,H,SI2,62.7,56.0,2816,6.16,6.13,3.85,450
0.83,Ideal,H,SI1,62.5,55.0,2816,6.04,6.0,3.76,451
0.71,Premium,E,SI1,61.3,56.0,2817,5.78,5.73,3.53,452
0.71,Ideal,I,VVS2,60.2,56.0,2817,5.84,5.89,3.53,453
0.71,Ideal,E,VS2,62.7,57.0,2817,5.66,5.64,3.54,454
0.71,Premium,E,VS2,62.3,58.0,2817,5.69,5.65,3.53,455
0.63,Ideal,F,VVS2,61.5,56.0,2817,5.48,5.52,3.38,456
0.71,Premium,E,SI1,59.2,59.0,2817,5.86,5.83,3.46,457
0.71,Premium,E,SI1,61.8,59.0,2817,5.75,5.7,3.54,458
0.71,Ideal,E,SI1,61.3,55.0,2817,5.77,5.72,3.52,459
0.71,Premium,E,SI1,61.4,58.0,2817,5.77,5.73,3.53,460
0.9,Ideal,J,VS2,62.8,55.0,2817,6.2,6.16,3.88,461
0.71,Good,E,SI1,62.8,64.0,2817,5.6,5.54,3.5,462
0.7,Premium,E,VS2,62.4,61.0,2818,5.66,5.63,3.52,463
0.7,Premium,E,VS2,59.3,60.0,2818,5.78,5.73,3.41,464
0.7,Premium,E,VS2,63.0,60.0,2818,5.64,5.6,3.54,465
1.0,Premium,H,I1,61.3,60.0,2818,6.43,6.39,3.93,466
0.86,Premium,F,SI2,59.3,62.0,2818,6.36,6.22,3.73,467
0.8,Ideal,H,SI1,61.0,57.0,2818,6.07,6.0,3.68,468
0.7,Ideal,E,VS1,62.9,57.0,2818,5.66,5.61,3.54,469
0.7,Premium,E,VS1,59.6,57.0,2818,5.91,5.83,3.5,470
0.7,Premium,F,VS2,61.8,60.0,2818,5.69,5.64,3.5,471
0.7,Premium,E,VS1,62.7,57.0,2818,5.68,5.64,3.55,472
1.0,Fair,H,SI2,65.3,62.0,2818,6.34,6.12,4.08,473
0.72,Very Good,G,VS1,63.8,58.0,2819,5.64,5.68,3.61,474
0.72,Ideal,H,VS1,62.3,56.0,2819,5.73,5.77,3.58,475
0.7,Good,F,VS1,59.7,63.0,2819,5.76,5.79,3.45,476
0.86,Good,F,SI2,64.3,60.0,2819,5.97,5.95,3.83,477
0.71,Ideal,G,VS1,62.9,58.0,2820,5.66,5.69,3.57,478
0.75,Ideal,E,SI1,62.0,57.0,2821,5.8,5.78,3.59,479
0.73,Premium,E,VS2,61.6,59.0,2821,5.77,5.73,3.54,480
0.53,Ideal,E,VVS1,61.9,55.0,2821,5.2,5.21,3.22,481
0.73,Premium,E,SI1,61.3,58.0,2821,5.83,5.76,3.55,482
0.73,Good,E,SI1,63.6,57.0,2821,5.72,5.7,3.63,483
0.73,Premium,E,SI1,59.6,61.0,2821,5.92,5.85,3.51,484
0.73,Premium,E,SI1,62.2,59.0,2821,5.77,5.68,3.56,485
0.73,Premium,D,SI1,61.7,55.0,2821,5.84,5.82,3.6,486
0.73,Very Good,E,SI1,63.2,58.0,2821,5.76,5.7,3.62,487
0.7,Premium,E,VS1,60.8,60.0,2822,5.74,5.71,3.48,488
0.72,Premium,E,VS2,60.3,59.0,2822,5.84,5.8,3.51,489
0.72,Premium,E,VS2,60.9,60.0,2822,5.8,5.76,3.52,490
0.72,Premium,E,VS2,62.4,59.0,2822,5.77,5.7,3.58,491
0.7,Premium,E,VS2,60.2,60.0,2822,5.73,5.7,3.44,492
0.6,Ideal,F,VVS2,62.0,55.0,2822,5.37,5.4,3.34,493
0.74,Ideal,I,VVS1,60.8,57.0,2822,5.85,5.89,3.57,494
0.73,Ideal,F,SI1,62.1,55.0,2822,5.75,5.78,3.58,495
0.71,Premium,D,SI1,62.7,60.0,2822,5.71,5.67,3.57,496
0.71,Premium,D,SI1,61.3,58.0,2822,5.75,5.73,3.52,497
0.7,Premium,D,SI1,60.2,60.0,2822,5.82,5.75,3.48,498
0.7,Ideal,D,SI1,60.7,56.0,2822,5.75,5.72,3.48,499
